temperature,humidity,soil_moisture,rain/rain_probability,crop,crop_stage,yield,market_demand,price
32.3,73.6,46.3,2.9,Bitter Gourd,Fruiting,16941,12812,39.49
30.9,76.4,39.9,22.4,Bitter Gourd,Harvest,27105,24389,50.4
30.0,65.6,49.4,14.7,Chilli,Vegetative,4870,5297,66.42
31.6,93.1,57.7,22.0,Drumstick,Flowering,10735,6539,51.19
30.1,68.1,61.0,37.8,Banana,Bunch Development,54780,22947,46.47
34.6,68.2,41.0,15.2,Drumstick,Flowering,12068,10365,49.67
30.1,67.8,40.8,12.6,Drumstick,Flowering,12236,9357,59.93
29.8,81.0,48.9,31.2,Drumstick,Harvest,23785,23948,46.64
29.2,65.1,42.8,14.6,Coriander,Flowering,1050,572,134.67
28.2,58.1,48.0,9.7,Cauliflower,Seedling,8400,4125,64.39
29.8,70.6,56.0,21.8,Brinjal,Flowering,14987,6036,54.17
30.3,78.4,56.3,23.7,Onion,Maturity,10600,5279,35.0
29.8,76.1,41.0,12.1,Brinjal,Vegetative,23936,10864,50.75
34.6,80.2,57.8,33.2,Brinjal,Fruiting,17083,19243,30.02
29.4,62.3,48.2,0.0,Coriander,Seed Maturity,1408,903,117.61
31.0,67.5,37.6,33.9,Potato,Vegetative,5700,4866,23.05
36.1,65.3,33.1,12.2,Drumstick,Pod Development,15852,13574,51.08
32.3,78.2,43.3,3.9,Tapioca,Vegetative,15151,8135,18.15
34.7,76.3,49.2,17.0,Tomato,Vegetative,16167,11880,31.74
29.4,70.4,42.2,18.3,Banana,Flowering,60825,29823,41.77
33.0,84.0,52.2,0.0,Potato,Tuber Bulking,6706,8390,27.77
32.2,81.8,53.6,9.9,Potato,Maturity,9283,4254,35.78
28.7,68.0,36.8,16.8,Brinjal,Vegetative,17431,11623,53.87
29.8,61.9,32.6,16.1,Tomato,Vegetative,19562,13211,30.05
29.0,71.8,58.4,50.8,Tapioca,Tuber Bulking,26265,20384,22.17
34.3,74.4,46.4,0.0,Tomato,Seedling,11400,6874,30.11
27.0,73.8,55.7,23.3,Potato,Vegetative,6334,4498,28.19
35.9,84.6,46.4,10.4,Onion,Nursery,5400,5583,31.35
33.0,78.4,58.3,13.5,Tapioca,Maturity,19459,8486,25.5
30.9,63.5,46.1,0.0,Brinjal,Seedling,12600,11612,55.5
33.9,46.8,30.8,12.9,Cauliflower,Seedling,8400,14953,22.18
34.8,70.3,30.8,22.0,Potato,Maturity,13969,11052,39.96
29.7,57.4,41.5,16.7,Tapioca,Vegetative,18264,8130,25.5
30.0,76.2,41.2,18.9,Tomato,Fruiting,20955,10805,41.51
38.6,75.7,37.0,7.7,Tomato,Maturity,20326,21946,29.4
35.7,81.8,53.2,0.0,Pumpkin,Maturity,19219,13692,20.85
33.4,68.3,32.3,0.0,Chilli,Fruiting,4761,3563,67.67
32.8,74.3,26.8,0.0,Chilli,Harvest,6164,4274,67.48
31.7,48.0,32.3,2.9,Cauliflower,Vegetative,11320,5782,46.16
28.4,78.0,41.0,8.6,Chilli,Flowering,9628,4607,105.78
31.9,79.6,36.9,24.6,Bitter Gourd,Vegetative,12575,4774,69.29
31.7,74.0,48.2,23.3,Tapioca,Vegetative,13041,5426,22.95
32.1,50.1,39.3,21.4,Cauliflower,Harvest,16607,8568,46.69
36.6,77.1,46.4,20.1,Bitter Gourd,Harvest,16937,21286,31.18
32.6,76.1,52.5,14.1,Potato,Tuber Initiation,8192,6977,32.11
33.0,54.8,38.0,29.7,Banana,Flowering,48832,21375,36.31
28.6,73.3,43.5,26.2,Cauliflower,Vegetative,8400,3411,43.02
33.9,69.7,50.3,0.0,Banana,Maturity,47494,39548,31.52
32.3,72.9,34.9,12.6,Banana,Flowering,53777,40445,21.81
30.0,67.9,58.2,12.0,Cauliflower,Curd Development,16501,11710,56.54
34.8,65.3,41.3,26.8,Potato,Vegetative,5965,6694,22.7
28.9,62.2,55.3,28.9,Tomato,Maturity,32265,19758,35.54
32.8,85.2,49.9,0.0,Chilli,Vegetative,3991,2524,48.13
29.8,77.3,38.1,28.2,Brinjal,Flowering,25148,21692,45.97
33.0,55.9,50.2,35.0,Coriander,Seed Maturity,1336,896,102.08
32.1,50.1,47.0,19.7,Pumpkin,Flowering,13340,12564,20.7
33.5,70.2,57.7,38.4,Bitter Gourd,Vegetative,7283,5081,52.78
31.2,64.0,50.6,24.6,Banana,Maturity,41410,15105,62.61
26.7,63.7,48.0,16.8,Tomato,Maturity,19144,15161,47.09
34.1,69.8,56.8,25.4,Bitter Gourd,Flowering,12091,6624,61.99
28.8,79.3,51.8,0.0,Tapioca,Maturity,19742,7995,22.34
27.0,76.2,62.1,13.5,Chilli,Vegetative,3600,1848,93.4
31.7,64.9,44.0,34.4,Drumstick,Flowering,15993,10460,69.77
31.0,71.5,22.9,7.9,Tomato,Fruiting,20060,11617,32.35
33.5,65.5,47.5,13.6,Pumpkin,Vegetative,15751,12716,21.48
34.7,62.2,23.5,12.6,Potato,Vegetative,6858,3713,37.3
31.9,65.6,55.7,6.6,Coriander,Seed Maturity,2059,851,195.25
30.8,62.0,43.1,0.0,Drumstick,Flowering,11204,4329,68.11
34.9,80.4,52.5,13.3,Potato,Tuber Initiation,8658,5449,37.02
33.4,87.3,49.1,37.2,Tomato,Fruiting,24074,21695,43.13
30.2,64.5,50.8,25.9,Coriander,Flowering,1885,1031,187.36
29.3,64.3,55.0,13.8,Onion,Bulb Enlargement,7956,8851,33.32
30.3,66.3,47.9,5.6,Chilli,Fruiting,6921,4478,71.49
28.6,82.2,47.0,13.5,Banana,Bunch Development,57584,54733,29.39
31.0,71.9,62.5,6.7,Potato,Maturity,9977,6503,24.14
32.2,76.0,43.4,6.2,Potato,Maturity,6477,3126,29.32
34.4,74.4,35.0,34.8,Potato,Tuber Bulking,10348,9137,26.85
34.3,68.1,30.9,7.7,Cauliflower,Harvest,10011,4670,42.67
30.9,68.2,50.8,33.6,Onion,Bulb Enlargement,9339,7057,33.13
31.6,53.1,45.8,0.0,Potato,Maturity,10292,11620,26.0
32.9,70.7,24.7,0.0,Bitter Gourd,Harvest,8300,2510,63.32
39.3,81.6,37.5,7.3,Coriander,Seed Maturity,1391,1280,104.34
29.3,75.9,57.9,24.5,Tomato,Flowering,23452,7849,38.8
32.9,66.9,51.2,22.0,Tapioca,Root Initiation,19931,15368,20.07
31.6,58.4,29.5,29.6,Potato,Tuber Bulking,8816,6141,29.65
34.2,77.4,58.5,24.3,Onion,Maturity,11105,5355,47.56
31.3,82.3,48.6,0.0,Cauliflower,Curd Development,10534,5007,49.95
27.7,93.9,43.8,36.7,Pumpkin,Maturity,27998,17666,27.97
34.5,66.9,39.7,16.5,Coriander,Flowering,1050,709,168.99
31.9,62.4,54.5,16.4,Brinjal,Seedling,12600,7234,48.85
29.2,86.0,58.5,16.6,Potato,Tuber Initiation,9647,4813,36.99
31.6,74.2,37.0,46.2,Tapioca,Maturity,32483,21716,24.66
36.8,70.7,51.5,30.4,Onion,Vegetative,5400,3345,35.38
29.4,74.9,42.5,17.8,Onion,Bulb Development,7830,5631,34.87
34.0,69.0,52.5,17.4,Pumpkin,Maturity,15321,11337,26.68
32.2,53.7,23.9,17.1,Tomato,Seedling,11400,5855,52.38
32.5,66.3,38.0,0.8,Tomato,Fruiting,19681,17707,35.64
31.7,72.9,56.7,21.0,Pumpkin,Vegetative,14365,8296,23.05
34.1,75.3,44.5,7.4,Chilli,Fruiting,4171,2979,57.62
32.3,75.8,48.5,37.2,Tapioca,Maturity,22767,20180,17.45
34.3,76.5,47.3,24.5,Bitter Gourd,Harvest,19445,13887,42.6
34.6,88.2,55.0,7.0,Banana,Maturity,55287,33207,41.93
30.9,63.6,41.8,21.7,Cauliflower,Harvest,12606,6706,33.71
32.7,76.9,38.1,31.8,Banana,Maturity,67460,53922,30.58
27.1,74.1,49.4,23.8,Tapioca,Tuber Bulking,14833,9257,20.31
32.3,66.7,38.5,11.3,Banana,Bunch Development,67556,49286,29.07
33.8,70.0,44.4,8.0,Chilli,Harvest,4881,3125,72.82
27.9,68.5,53.4,31.8,Brinjal,Seedling,12600,9962,38.87
31.7,64.5,30.8,10.2,Chilli,Vegetative,5966,4608,67.78
36.0,83.0,65.0,15.8,Tomato,Vegetative,14237,11502,42.59
30.9,75.4,59.9,13.2,Banana,Flowering,33602,33379,28.03
32.2,75.9,51.6,28.0,Drumstick,Flowering,14149,15983,44.85
35.8,67.2,43.1,43.9,Chilli,Fruiting,6693,4985,63.47
29.9,78.9,46.0,15.7,Brinjal,Vegetative,20294,8153,58.99
29.3,77.5,50.3,31.3,Drumstick,Harvest,24064,22818,51.3
28.8,64.9,46.6,10.7,Banana,Bunch Development,67853,52455,35.4
36.3,52.5,39.8,0.0,Potato,Vegetative,5844,1928,41.57
29.4,91.4,52.0,34.9,Cauliflower,Curd Initiation,12116,9888,34.38
29.1,59.6,39.3,20.6,Banana,Bunch Development,59668,43092,29.72
31.8,72.8,43.1,0.0,Potato,Vegetative,6744,3829,35.66
32.5,58.4,35.3,4.8,Banana,Maturity,63980,41833,32.19
37.1,68.3,30.8,19.3,Drumstick,Flowering,16664,8453,62.0
31.6,74.3,45.4,26.3,Potato,Tuber Initiation,5776,3526,36.04
34.4,41.0,34.3,0.0,Banana,Flowering,37888,32371,31.45
34.8,93.1,59.9,23.4,Brinjal,Fruiting,20925,16458,44.26
34.4,64.4,44.3,14.4,Potato,Tuber Initiation,8356,7260,31.25
29.8,61.9,41.6,25.2,Cauliflower,Harvest,15076,5558,48.6
28.4,71.7,58.4,0.0,Tomato,Fruiting,21515,16182,39.3
31.6,70.7,41.9,11.3,Drumstick,Pod Development,23957,24096,55.32
33.2,66.8,45.1,9.5,Coriander,Leaf Expansion,1522,821,128.89
33.1,61.7,34.8,1.8,Onion,Vegetative,5718,2087,54.3
29.3,62.7,29.4,8.0,Drumstick,Vegetative,20834,9561,66.09
33.2,71.4,50.2,25.1,Cauliflower,Seedling,8400,5877,45.37
38.1,66.5,31.3,28.5,Potato,Tuber Initiation,7226,3262,44.53
37.1,84.0,35.6,35.1,Coriander,Flowering,1050,373,128.2
29.1,65.4,36.1,20.4,Cauliflower,Curd Initiation,17794,17119,37.8
34.3,78.0,45.1,0.0,Chilli,Flowering,4478,2192,84.79
29.6,60.0,40.7,22.7,Potato,Tuber Initiation,7736,3815,38.2
35.3,71.7,41.0,22.4,Banana,Bunch Development,51379,45742,28.98
30.8,77.8,59.5,22.6,Bitter Gourd,Vegetative,10215,12874,32.47
32.2,67.8,35.7,16.6,Pumpkin,Flowering,14318,12991,18.23
33.7,63.1,45.4,9.8,Onion,Bulb Development,5400,3944,47.33
28.2,67.6,38.7,0.0,Cauliflower,Seedling,8400,5535,48.42
29.2,66.1,39.9,43.3,Banana,Maturity,72127,55006,44.89
30.8,66.2,54.0,28.8,Tapioca,Tuber Bulking,20741,17256,23.88
30.4,65.9,55.8,30.5,Coriander,Seed Maturity,2402,1876,130.14
33.2,71.5,49.5,31.3,Bitter Gourd,Vegetative,8817,4345,56.49
28.9,73.4,58.8,3.0,Chilli,Harvest,6650,3309,80.59
29.0,81.9,49.6,0.0,Cauliflower,Harvest,16197,11805,58.15
30.5,76.2,49.7,10.4,Coriander,Seed Maturity,1547,759,195.62
34.6,71.7,48.3,0.0,Coriander,Vegetative,1050,366,158.52
33.1,78.6,40.6,29.6,Tapioca,Root Initiation,23846,22671,21.61
30.9,62.1,32.7,15.8,Pumpkin,Flowering,17147,13394,25.64
29.4,60.6,56.6,0.0,Tapioca,Tuber Bulking,17371,12566,20.5
28.5,84.0,48.3,14.3,Coriander,Seed Maturity,1308,1080,91.73
30.3,80.9,64.3,5.8,Bitter Gourd,Vegetative,7679,5176,50.74
35.1,75.7,52.7,15.7,Brinjal,Seedling,12600,4874,56.58
33.3,77.4,37.6,32.3,Onion,Maturity,8304,8359,31.64
29.5,74.5,42.2,20.1,Coriander,Leaf Expansion,1611,1148,121.05
31.8,75.2,50.9,23.4,Chilli,Fruiting,3600,2605,83.78
34.8,76.7,42.7,5.6,Chilli,Flowering,5285,3920,60.6
34.4,66.0,45.8,32.1,Bitter Gourd,Harvest,13535,5224,62.1
33.1,69.3,41.6,0.0,Bitter Gourd,Flowering,12096,9620,64.67
36.5,71.4,45.6,0.0,Cauliflower,Seedling,8400,8456,28.43
33.7,70.3,33.7,26.4,Chilli,Flowering,6085,2827,86.5
36.5,68.0,45.4,17.9,Tomato,Maturity,22353,17806,28.73
34.1,64.3,47.9,0.0,Potato,Vegetative,5700,4113,26.14
34.4,78.3,57.3,29.6,Tomato,Fruiting,12314,7686,39.63
33.3,55.2,43.3,31.3,Brinjal,Vegetative,12600,6505,53.02
30.0,77.1,50.1,20.9,Tomato,Vegetative,11400,6124,39.49
29.8,62.4,50.2,26.4,Cauliflower,Curd Initiation,13598,6858,57.24
31.3,69.0,50.2,4.9,Bitter Gourd,Harvest,10859,8059,48.61
33.4,72.1,36.7,4.6,Pumpkin,Maturity,28179,26592,22.62
35.1,49.5,30.5,3.2,Coriander,Flowering,1050,358,172.63
32.6,59.7,29.8,22.3,Pumpkin,Flowering,18457,16725,19.25
31.4,81.1,39.4,0.0,Tomato,Maturity,29500,17477,38.14
36.1,73.6,39.5,36.3,Pumpkin,Vegetative,11086,11367,18.47
29.8,80.4,52.3,21.2,Banana,Flowering,38961,24828,35.88
28.9,64.6,55.1,7.0,Brinjal,Vegetative,14328,5138,54.09
32.6,80.7,40.7,22.7,Tomato,Maturity,26057,26864,28.36
27.1,69.8,53.2,7.3,Tomato,Fruiting,24529,8213,43.53
30.7,75.6,45.0,9.1,Tomato,Vegetative,12455,10250,34.94
35.7,93.4,54.2,18.3,Bitter Gourd,Harvest,12199,9609,32.73
31.3,68.6,40.4,8.8,Chilli,Harvest,10038,2625,68.92
32.1,74.5,33.9,19.3,Coriander,Seed Maturity,2161,1267,119.01
33.6,76.5,33.1,7.1,Potato,Tuber Initiation,7547,4984,38.22
31.6,78.2,39.2,29.7,Potato,Vegetative,5700,5480,33.19
26.6,66.3,57.0,22.6,Brinjal,Seedling,13172,11127,42.23
27.5,52.0,39.0,8.0,Bitter Gourd,Vegetative,9345,3823,58.72
36.0,68.5,39.2,28.6,Onion,Vegetative,5471,3113,38.32
31.4,80.5,55.2,24.8,Bitter Gourd,Flowering,9793,4573,56.49
32.1,52.3,35.3,8.6,Chilli,Fruiting,6783,7512,50.19
35.3,72.0,39.3,17.0,Chilli,Vegetative,6216,6343,65.57
28.3,68.5,52.9,16.3,Potato,Tuber Initiation,5700,5481,29.0
32.1,73.2,46.5,22.3,Banana,Bunch Development,50292,29398,36.44
32.7,76.2,57.1,20.0,Pumpkin,Vegetative,11273,5357,19.78
33.1,97.0,55.8,36.1,Tapioca,Vegetative,10861,13288,13.44
28.7,66.0,49.3,0.0,Cauliflower,Curd Initiation,8647,5534,53.69
33.5,78.3,43.6,0.0,Pumpkin,Flowering,13935,11103,22.92
32.5,76.9,49.0,22.8,Coriander,Leaf Expansion,1210,1122,121.68
28.9,73.4,42.8,0.0,Tomato,Maturity,18665,17823,26.02
32.8,58.9,36.4,8.5,Tapioca,Root Initiation,28419,20345,18.06
26.7,71.5,39.6,17.4,Tomato,Seedling,11400,6352,59.33
32.0,63.5,49.3,15.0,Brinjal,Vegetative,21470,17568,35.99
31.1,67.9,49.1,15.3,Onion,Bulb Development,5400,2600,43.22
33.6,95.2,65.0,20.2,Pumpkin,Fruit Development,15134,9709,28.77
29.6,71.4,57.5,12.7,Cauliflower,Curd Initiation,9255,5272,43.56
